,SEASON_YEAR,Game_Type,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER
183,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600295,2006-12-10T00:00:00,TOR vs. POR,L,240.00000000000003,29,83,0.3493975903614458,6,23,0.2608695652173913,19,25,0.76,10,24,34,16,5,7,2,6,25,26,83,-50,0,0,80.4948571440011
184,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600304,2006-12-11T00:00:00,TOR @ MIA,L,239.99999999999997,35,81,0.43209876543209874,4,21,0.19047619047619047,3,5,0.6,5,32,37,22,18,7,1,3,22,14,77,-110,1,0,53.70239424678418
185,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600315,2006-12-13T00:00:00,TOR @ ORL,W,239.99999999999997,31,66,0.4696969696969697,7,17,0.4117647058823529,22,26,0.8461538461538461,7,32,39,14,14,7,8,0,23,21,91,35,0,0,126.5804422500637
186,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600329,2006-12-15T00:00:00,TOR vs. NJN,W,239.99999999999997,37,83,0.4457831325301205,3,11,0.2727272727272727,13,17,0.7647058823529411,11,34,45,21,10,5,4,0,19,17,90,60,0,0,82.09027584199612
187,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600351,2006-12-17T00:00:00,TOR vs. GSW,W,240.0,41,87,0.47126436781609193,10,20,0.5,28,37,0.7567567567567568,17,33,50,28,14,7,8,2,24,27,120,25,3,0,173.4068022488323
188,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600363,2006-12-19T00:00:00,TOR @ PHX,L,240.0,38,95,0.4,2,12,0.16666666666666666,20,23,0.8695652173913043,11,34,45,15,11,6,1,7,19,22,98,-85,0,0,139.8040907603675
189,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600375,2006-12-20T00:00:00,TOR @ LAC,W,240.0,32,75,0.4266666666666667,8,17,0.47058823529411764,26,32,0.8125,8,28,36,20,10,5,2,9,22,21,98,10,0,0,140.791586443789
190,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600390,2006-12-22T00:00:00,TOR @ POR,W,265.0,43,89,0.48314606741573035,3,8,0.375,12,15,0.8,7,26,33,18,15,9,1,8,29,23,101,5,1,0,129.9857394348354
191,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600402,2006-12-23T00:00:00,TOR @ SEA,L,240.0,40,86,0.46511627906976744,4,15,0.26666666666666666,13,16,0.8125,7,27,34,24,12,7,5,2,22,21,97,-65,0,0,95.10821632725101
192,2006-07,Regular Season,1610612761,TOR,Toronto Raptors,20600415,2006-12-27T00:00:00,TOR vs. MIN,W,240.00000000000003,41,79,0.5189873417721519,5,11,0.45454545454545453,13,20,0.65,9,29,38,21,12,3,3,2,19,24,100,15,0,0,143.6879106468523
