,SEASON_YEAR,Game_Type,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER
40,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900621,2020-01-17T00:00:00,TOR vs. WAS,251.46111110677782,57.5,100.0,0.575,22.166666666666668,43.666666666666664,0.5076335877862596,17.333333333333332,20.5,0.8455284552845528,11.166666666666666,40.666666666666664,51.833333333333336,31.666666666666668,18.666666666666668,18.5,2.1666666666666665,4.833333333333333,26.0,20.833333333333332,154.5,27.5,0,0,312.07475508578995
41,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900632,2020-01-18T00:00:00,TOR @ MIN,253.71111110177776,52.5,101.0,0.5198019801980198,13.166666666666666,36.666666666666664,0.35909090909090907,18.333333333333332,21.5,0.8527131782945736,10.166666666666666,41.666666666666664,51.833333333333336,25.666666666666668,14.666666666666666,14.5,6.166666666666667,6.833333333333333,26.0,22.833333333333332,136.5,13.5,0,0,255.89375747678986
42,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900640,2020-01-20T00:00:00,TOR @ ATL,241.95000000666667,40.0,96.0,0.4166666666666667,13.0,43.0,0.3023255813953488,35.0,46.0,0.7608695652173914,15.0,37.0,52.0,21.0,13.0,12.0,3.0,9.0,25.0,37.0,128.0,5.0,0,0,198.9122063055843
43,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900660,2020-01-22T00:00:00,TOR vs. PHI,264.33333332666666,43.0,92.0,0.4673913043478261,13.0,34.0,0.38235294117647056,16.0,24.0,0.6666666666666666,11.0,49.0,60.0,27.0,12.0,8.0,2.0,7.0,22.0,26.0,115.0,13.4,1,0,159.33832227458427
44,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900672,2020-01-24T00:00:00,TOR @ NYK,240.00000000999998,41.0,81.0,0.5061728395061729,17.0,35.0,0.4857142857142857,19.0,23.0,0.8260869565217391,5.0,26.0,31.0,25.0,7.0,10.0,6.0,4.0,20.0,21.0,118.0,6.0,0,0,186.881881236
45,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900686,2020-01-26T00:00:00,TOR @ SAS,239.99999999599999,41.0,99.0,0.41414141414141414,16.0,50.0,0.32,12.0,15.0,0.8,14.0,36.0,50.0,31.0,8.0,11.0,2.0,8.0,22.0,15.0,110.0,4.0,1,0,166.94584925400002
46,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900703,2020-01-28T00:00:00,TOR vs. ATL,248.4111111051111,50.5,102.0,0.4950980392156863,13.166666666666666,43.666666666666664,0.3015267175572519,22.333333333333332,28.5,0.783625730994152,11.166666666666666,43.666666666666664,54.833333333333336,26.666666666666668,11.666666666666666,10.5,6.166666666666667,2.8333333333333335,27.0,24.833333333333332,136.5,18.5,2,0,223.4632948932056
47,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900714,2020-01-30T00:00:00,TOR @ CLE,244.18333332966668,42.0,88.0,0.4772727272727273,12.0,33.0,0.36363636363636365,23.0,30.0,0.7666666666666667,12.0,29.0,41.0,22.0,12.0,14.0,3.0,4.0,22.0,23.0,119.0,6.6,0,0,177.2182931275843
48,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900720,2020-01-31T00:00:00,TOR @ DET,254.8077777877778,50.5,96.0,0.5260416666666666,9.166666666666666,28.666666666666668,0.3197674418604651,11.333333333333334,15.5,0.7311827956989247,10.166666666666666,40.666666666666664,50.833333333333336,25.666666666666668,14.666666666666666,8.5,7.166666666666667,7.833333333333333,29.0,16.833333333333332,121.5,15.7,0,0,110.60701655978988
49,2019-20,Regular Season,1610612761,TOR,Toronto Raptors,21900740,2020-02-02T00:00:00,TOR vs. CHI,250.64444444777774,50.5,91.0,0.554945054945055,14.166666666666666,32.666666666666664,0.43367346938775514,20.333333333333332,25.5,0.7973856209150326,16.166666666666668,36.666666666666664,52.833333333333336,26.666666666666668,15.666666666666666,7.5,4.166666666666667,1.8333333333333335,21.0,23.833333333333332,135.5,25.3,0,0,278.8105706777899
