,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER,TEAM_NAME,TEAM_ABBREVIATION,TEAM_ID,SEASON_YEAR,Game_Type
49,21900740,2020-02-02T00:00:00,TOR vs. CHI,W,240.00000000299997,47,84,0.5595238095238095,16,34,0.47058823529411764,19,23,0.8260869565217391,12,34,46,28,15,6,5,0,18,21,129,135,0,0,277.66107928,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
50,21900758,2020-02-05T00:00:00,TOR vs. IND,W,239.999999987,43,86,0.5,12,32,0.375,21,24,0.875,7,30,37,27,10,12,0,5,17,18,119,5,1,0,174.67988603700002,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
51,21900772,2020-02-07T00:00:00,TOR @ IND,W,239.99999998700002,42,88,0.4772727272727273,17,38,0.4473684210526316,14,17,0.8235294117647058,8,31,39,28,16,12,3,5,22,18,115,45,2,0,174.70674000499997,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
52,21900781,2020-02-08T00:00:00,TOR vs. BKN,W,239.999999993,45,95,0.47368421052631576,14,35,0.4,15,21,0.7142857142857143,13,35,48,22,7,6,5,5,22,16,119,5,0,0,184.14421276,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
53,21900796,2020-02-10T00:00:00,TOR vs. MIN,W,240.000000007,51,89,0.5730337078651685,17,33,0.5151515151515151,18,23,0.782608695652174,9,32,41,29,18,15,4,4,26,19,137,55,2,0,154.646328981,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
54,21900809,2020-02-12T00:00:00,TOR @ BKN,L,239.99999999300002,34,90,0.37777777777777777,13,43,0.3023255813953488,10,13,0.7692307692307693,6,36,42,21,13,6,4,5,20,16,91,-50,1,1,65.688913103,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
55,21900829,2020-02-21T00:00:00,TOR vs. PHX,W,240.00000001099997,42,80,0.525,14,37,0.3783783783783784,20,22,0.9090909090909091,7,41,48,24,22,7,13,3,20,23,118,85,2,0,185.78792772399999,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
56,21900843,2020-02-23T00:00:00,TOR vs. IND,W,239.99999998899997,47,92,0.5108695652173914,17,44,0.38636363636363635,16,18,0.8888888888888888,10,47,57,32,17,9,10,4,21,20,127,230,2,0,311.41485987,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
57,21900858,2020-02-25T00:00:00,TOR vs. MIL,L,239.99999999999997,32,91,0.3516483516483517,18,52,0.34615384615384615,15,21,0.7142857142857143,9,34,43,21,16,4,5,10,26,19,97,-55,0,0,128.36827016900003,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
58,21900879,2020-02-28T00:00:00,TOR vs. CHA,L,240.00000001,33,95,0.3473684210526316,10,43,0.23255813953488372,20,29,0.6896551724137931,14,31,45,19,5,11,3,8,25,22,96,-15,0,0,91.02952745,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
